date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct
2023-01-16,160,Stoomtrein Marerijk,25.0,25.0,100.0
2023-01-16,160,Stoomtrein Ruigrijk,25.0,25.0,99.0
2023-01-16,160,Symbolica,6.0,25.0,99.0
2023-01-16,160,Symbolica Single-rider,,,0.0
2023-01-16,160,The Six Swans,5.0,5.0,85.0
2023-01-16,160,Villa Volta,,,0.0
2023-01-16,160,Vogel Rok,5.0,5.0,100.0
2023-01-16,160,Volkvanlaaf,,,99.0
2023-01-17,160,Anton Pieck Plein,,,99.0
2023-01-17,160,Archipel,,,86.0
2023-01-17,160,Badhuys indoor splash pool,,,42.0
2023-01-17,160,Baron 1898,6.0,50.0,83.0
2023-01-17,160,Baron 1898 Single-rider,,,0.0
2023-01-17,160,Carnaval Festival,,,100.0
2023-01-17,160,De Oude Tufferbaan,5.0,5.0,99.0
2023-01-17,160,De Vliegende Hollander,,,0.0
2023-01-17,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-17,160,Diorama,,,100.0
2023-01-17,160,Droomvlucht,,,0.0
2023-01-17,160,Droomvlucht VR,,,0.0
2023-01-17,160,Efteling Museum,,,85.0
2023-01-17,160,Fabula,10.0,10.0,100.0
2023-01-17,160,Fairytale Forest,,,99.0
2023-01-17,160,Fata Morgana,5.0,5.0,100.0
2023-01-17,160,Gondoletta,5.0,5.0,79.0
2023-01-17,160,Halve Maen,5.0,5.0,99.0
2023-01-17,160,Joris en de Draak,,,0.0
2023-01-17,160,Joris en de Draak Single-rider,,,0.0
2023-01-17,160,Kinderspoor,,,99.0
2023-01-17,160,Kindervreugd,,,99.0
2023-01-17,160,Kleuterhof,,,100.0
2023-01-17,160,Max & Moritz,5.0,10.0,96.0
2023-01-17,160,Max & Moritz Single-rider,,,0.0
2023-01-17,160,Monorail,,,99.0
2023-01-17,160,Nest!,,,99.0
2023-01-17,160,Pagode,5.0,5.0,91.0
2023-01-17,160,Piraña,,,0.0
2023-01-17,160,Python,5.0,5.0,94.0
2023-01-17,160,Python Single-rider,,,0.0
2023-01-17,160,Sirocco,5.0,5.0,100.0
2023-01-17,160,Stoomcarrousel,,,100.0
2023-01-17,160,Stoomtrein Marerijk,25.0,25.0,100.0
2023-01-17,160,Stoomtrein Ruigrijk,25.0,25.0,100.0
