date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct,crowd_percent,crowd_label,temperature_forecast,temperature_actual,rain_forecast,rain_actual,wind_forecast,wind_actual,events
2025-06-23,160,Halve Maen,17,25,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Joris en de Draak,42,50,84,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Joris en de Draak Single-rider,31,45,50,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Kinderspoor,20,30,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Max & Moritz,13,35,100,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Max & Moritz Single-rider,8,25,97,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Monorail,15,20,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Pagode,5,10,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Piraña,25,35,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Python,26,45,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Python Single-rider,24,55,90,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Sirocco,7,15,100,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Stoomcarrousel,NA,NA,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Stoomtrein Marerijk,17,25,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Stoomtrein Ruigrijk,16,25,94,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Symbolica,31,55,99,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Symbolica Single-rider,8,20,97,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Villa Volta,8,10,100,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-23,160,Vogel Rok,24,40,100,73,Busy,20,19.4,0.11,0,6,8.4,NA
2025-06-24,160,Baron 1898,39,50,100,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Baron 1898 Single-rider,27,40,100,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Carnaval Festival,11,20,98,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
2025-06-24,160,Danse Macabre,37,55,91,59,Busy,19,19.2,0.01,0.01,4.8,5.7,NA
